# y+ ()                 
# Time                  	patch                   	min                     	max                     	average                 
1893.5                  	Top	1.2394740323106204e+02	1.5976760532286693e+02	1.3793563489607996e+02
1893.5                  	Bottom	1.2241273081199314e+02	1.5811173407252102e+02	1.3914578725504467e+02
1893.5                  	circle	1.3999249983360862e+01	6.6386666356452238e+01	4.4586807641568946e+01
1894                    	Top	1.2394739243742748e+02	1.5977189366669157e+02	1.3794011445863308e+02
1894                    	Bottom	1.2241088851938333e+02	1.5811405584931433e+02	1.3914132441835673e+02
1894                    	circle	1.3549804965963855e+01	6.6350450042461617e+01	4.4511560181476050e+01
1894.5                  	Top	1.2394963282830614e+02	1.5977298753801321e+02	1.3794376851972589e+02
1894.5                  	Bottom	1.2240796634192422e+02	1.5811669194182824e+02	1.3913734220066402e+02
1894.5                  	circle	1.4189453721946293e+01	6.6347470502694520e+01	4.4492796320946752e+01
1895                    	Top	1.2395305658627552e+02	1.5977074309850309e+02	1.3794501260992462e+02
1895                    	Bottom	1.2240540556635209e+02	1.5811856298502676e+02	1.3913583441776720e+02
1895                    	circle	1.5583712536487418e+01	6.6378453734341377e+01	4.4536964994033376e+01
1895.5                  	Top	1.2395588575085250e+02	1.5976616388154289e+02	1.3794292446045986e+02
1895.5                  	Bottom	1.2240483268759601e+02	1.5811919768201895e+02	1.3913738138267283e+02
1895.5                  	circle	1.6979068394103120e+01	6.6429040012341474e+01	4.4621321139370608e+01
1896                    	Top	1.2395705313281384e+02	1.5976125306784866e+02	1.3793879918381435e+02
1896                    	Bottom	1.2240604201076732e+02	1.5811789087067282e+02	1.3914135782668259e+02
1896                    	circle	1.7743663357117669e+01	6.6476252835540691e+01	4.4707276454362194e+01
1896.5                  	Top	1.2395596692915902e+02	1.5975819258914530e+02	1.3793439983715658e+02
1896.5                  	Bottom	1.2240852781038468e+02	1.5811530917288891e+02	1.3914583841511930e+02
1896.5                  	circle	1.7649051287125456e+01	6.6499227356148424e+01	4.4759800988383077e+01
1897                    	Top	1.2395293128735472e+02	1.5975852106198224e+02	1.3793160783316671e+02
1897                    	Bottom	1.2241143575464905e+02	1.5811290258283549e+02	1.3914889458596826e+02
1897                    	circle	1.6766162925006881e+01	6.6487253375555426e+01	4.4754887709978497e+01
1897.5                  	Top	1.2394966483249453e+02	1.5976208577488171e+02	1.3793199188450780e+02
1897.5                  	Bottom	1.2241314382058448e+02	1.5811139690717803e+02	1.3914903150830114e+02
1897.5                  	circle	1.5376730517446264e+01	6.6444393379944231e+01	4.4691359253480833e+01
1898                    	Top	1.2394751991499871e+02	1.5976712274130489e+02	1.3793524743591328e+02
1898                    	Bottom	1.2241283066147699e+02	1.5811159430424806e+02	1.3914615411729858e+02
1898                    	circle	1.4089028923690813e+01	6.6391200334191694e+01	4.4595546995610015e+01
